Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::pair<char, char> const, int> >::_M_const_cast() const
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >* std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_Alloc_node::operator()<std::pair<std::pair<char, char> const, int> const&>(std::pair<std::pair<char, char> const, int> const&) const
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::size() const
  0.00      0.00     0.00       52     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >&, std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*, unsigned long)
  0.00      0.00     0.00       52     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > > >::destroy<std::pair<std::pair<char, char> const, int> >(std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >&, std::pair<std::pair<char, char> const, int>*)
  0.00      0.00     0.00       52     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >&, unsigned long)
  0.00      0.00     0.00       52     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > > >::construct<std::pair<std::pair<char, char> const, int>, std::pair<std::pair<char, char> const, int> const&>(std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >&, std::pair<std::pair<char, char> const, int>*, std::pair<std::pair<char, char> const, int> const&)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::pair<char, char> const, int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> > const&)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> > std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_insert_<std::pair<std::pair<char, char> const, int> const&, std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::pair<char, char> const, int> const&, std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_Alloc_node&)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_get_node()
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_drop_node(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >* std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_create_node<std::pair<std::pair<char, char> const, int> const&>(std::pair<std::pair<char, char> const, int> const&)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*)
  0.00      0.00     0.00       52     0.00     0.00  void std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_construct_node<std::pair<std::pair<char, char> const, int> const&>(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*, std::pair<std::pair<char, char> const, int> const&)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> > std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_insert_unique_<std::pair<std::pair<char, char> const, int> const&, std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_Alloc_node>(std::_Rb_tree_const_iterator<std::pair<std::pair<char, char> const, int> >, std::pair<std::pair<char, char> const, int> const&, std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_Alloc_node&)
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::pair<char, char> const, int> >, std::pair<char, char> const&)
  0.00      0.00     0.00       49     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> > const&, std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> > const&)
  0.00      0.00     0.00       44     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*&, std::_Rb_tree_node_base*&)
  0.00      0.00     0.00       44     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_get_insert_unique_pos(std::pair<char, char> const&)
